fips,ansi
01,01779775
02,01785533
04,01779777
05,00068085
06,01779778
08,01779779
09,01779780
10,01779781
11,01702382
12,00294478
13,01705317
15,01779782
16,01779783
17,01779784
18,00448508
19,01779785
20,00481813
21,01779786
22,01629543
23,01779787
24,01714934
25,00606926
26,01779789
27,00662849
28,01779790
29,01779791
30,00767982
31,01779792
32,01779793
33,01779794
34,01779795
35,00897535
36,01779796
37,01027616
38,01779797
39,01085497
40,01102857
41,01155107
42,01779798
44,01219835
45,01779799
46,01785534
47,01325873
48,01779801
49,01455989
50,01779802
51,01779803
53,01779804
54,01779805
55,01779806
56,01779807
60,01802701
66,01802705
69,01779809
72,01779808
74,01878752
78,01802710
