x,y
-86.8468,32.7437
-152.8789,63.4136
-111.6605,34.2751
-92.4419,34.8942
-119.5278,37.1548
-105.5478,38.9976
-72.7393,41.5751
-75.4514,38.9933
-77.0163,38.9048
-82.5022,28.4062
-83.4165,32.6279
-157.9937,21.0509
-114.6137,44.3524
-89.1501,40.1006
-86.2873,39.9059
-93.4959,42.0754
-98.3786,38.4939
-85.3018,37.5352
-91.7982,30.9026
-69.2137,45.2611
-76.679,38.9464
-71.4975,42.1618
-85.6651,44.8382
-94.1982,46.3167
-89.6552,32.6973
-92.4581,38.357
-109.6329,47.0527
-99.795,41.5381
-116.6313,39.3292
-71.5739,43.674
-74.6584,40.1049
-106.1127,34.4076
-75.5941,42.9196
-79.1299,35.5402
-100.4661,47.4505
-82.7169,40.4097
-97.4947,35.5886
-120.6109,43.9396
-77.8369,40.9011
-71.5247,41.594
-80.8583,33.8758
-100.227,44.4446
-86.3491,35.8582
-99.2891,31.4277
-111.6703,39.3063
-72.6661,44.0693
-78.6759,37.5183
-120.5955,47.4149
-80.6235,38.6412
-89.7098,44.6273
-107.5515,42.9961
