abb,capital,lat,long,population
AL,Montgomery,32.3615,-86.2791,200603
AK,Juneau,58.3019,-134.4197,32061
AZ,Phoenix,33.4485,-112.0738,1608139
AR,Little Rock,34.736,-92.3311,202591
CA,Sacramento,38.5556,-121.4689,524943
CO,Denver,39.7392,-104.9847,715522
CT,Hartford,41.767,-72.677,121054
DE,Dover,39.1619,-75.5268,39403
FL,Tallahassee,30.438,-84.2809,196169
GA,Atlanta,33.76,-84.39,498715
HI,Honolulu,21.309,-157.8262,350964
ID,Boise,43.6137,-116.2377,235685
IL,Springfield,39.7833,-89.6504,114394
IN,Indianapolis,39.7609,-86.1476,887642
IA,Des Moines,41.5909,-93.6209,214133
KS,Topeka,39.04,-95.69,126587
KY,Frankfort,38.1973,-84.8631,28602
LA,Baton Rouge,30.4581,-91.1402,227470
ME,Augusta,44.3235,-69.7653,18899
MD,Annapolis,38.9729,-76.5012,40812
MA,Boston,42.3601,-71.0589,675647
MI,Lansing,42.7335,-84.5467,112644
MN,Saint Paul,44.95,-93.094,311527
MS,Jackson,32.32,-90.207,153701
MO,Jefferson City,38.5767,-92.1735,43228
MT,Helena,46.5958,-112.027,32091
NE,Lincoln,40.8099,-96.6753,291082
NV,Carson City,39.1609,-119.7539,58639
NH,Concord,43.2201,-71.5491,43976
NJ,Trenton,40.2217,-74.7561,90871
NM,Santa Fe,35.6672,-105.9646,87505
NY,Albany,42.6598,-73.7813,99224
NC,Raleigh,35.771,-78.638,467665
ND,Bismarck,48.1333,-100.779,73622
OH,Columbus,39.9622,-83.0006,905748
OK,Oklahoma City,35.4823,-97.535,681054
OR,Salem,44.9311,-123.0292,175535
PA,Harrisburg,40.2698,-76.8756,50099
RI,Providence,41.8236,-71.4221,190934
SC,Columbia,34,-81.035,136632
SD,Pierre,44.368,-100.3364,14091
TN,Nashville,36.165,-86.784,689447
TX,Austin,30.2667,-97.75,961855
UT,Salt Lake City,40.7547,-111.8926,199723
VT,Montpelier,44.2664,-72.5719,8074
VA,Richmond,37.54,-77.46,226610
WA,Olympia,47.0424,-122.8931,55605
WV,Charleston,38.3495,-81.6333,48864
WI,Madison,43.0747,-89.3844,269840
WY,Cheyenne,41.1455,-104.802,65132
DC,Washington,38.8951,-77.0364,705749
PR,San Juan,18.4663,-66.1057,342259
