fips,x,y
01,-86.829,32.779
02,-152.278,64.069
04,-111.66,34.274
05,-92.443,34.894
06,-119.47,37.184
08,-105.548,38.997
09,-72.727,41.622
10,-75.505,38.99
11,-77.015,38.91
12,-82.45,28.631
13,-83.443,32.642
15,-156.374,20.293
16,-114.613,44.351
17,-89.197,40.042
18,-86.282,39.894
19,-93.496,42.075
20,-98.38,38.494
21,-85.302,37.535
22,-91.997,31.069
23,-69.243,45.37
24,-76.791,39.055
25,-71.808,42.26
26,-85.41,44.347
27,-94.305,46.281
28,-89.668,32.736
29,-92.458,38.357
30,-109.633,47.053
31,-99.795,41.538
32,-116.631,39.329
33,-71.581,43.681
34,-74.673,40.191
35,-106.113,34.407
36,-75.527,42.954
37,-79.388,35.556
38,-100.466,47.45
39,-82.794,40.286
40,-97.494,35.589
41,-120.558,43.934
42,-77.8,40.878
44,-71.556,41.676
45,-80.896,33.917
46,-100.226,44.444
47,-86.35,35.858
48,-99.331,31.476
49,-111.67,39.306
50,-72.666,44.069
51,-78.854,37.522
53,-120.447,47.383
54,-80.623,38.641
55,-89.994,44.624
56,-107.551,42.996
60,-169.058,-13.852
66,143.581,12.977
69,146.028,18.318
72,-66.43,18.222
78,-64.803,18.048
