name,population,electors,admission,income,life_exp,murder,college,frost
Alabama,5024279,9,1819-12-14,33777,72,10.78,0.288,53.1
Alaska,733391,3,1959-01-03,43054,74.5,9.74,0.306,198.2
Arizona,7151502,11,1912-02-14,39819,75,7.18,0.33,75.4
Arkansas,3011524,6,1836-06-15,31380,72.5,10.44,0.254,68.3
California,39538223,54,1850-09-09,46661,78.3,5.81,0.37,44.6
Colorado,5773714,10,1876-08-01,49071,77.7,6.77,0.459,189.4
Connecticut,3605944,7,1788-01-09,51581,79.2,3.89,0.419,130.4
Delaware,989948,3,1787-12-07,42571,76.3,4.81,0.365,84.7
District of Columbia,689545,3,1790-07-16,71699,75.3,30.82,0.654,89.8
Florida,21538187,30,1845-03-03,40278,76.1,4.95,0.343,7.5
Georgia,10711908,16,1788-01-02,38378,74.3,8.73,0.347,48.2
Hawaii,1455271,4,1959-08-21,42710,79.9,2.73,0.354,0.7
Idaho,1839106,4,1890-07-03,35980,77.2,2.84,0.323,175.1
Illinois,12812508,19,1818-12-03,43317,77.1,9.5,0.377,120.8
Indiana,6785528,11,1816-12-11,35984,74.6,8.29,0.296,118.2
Iowa,3190369,6,1846-12-28,38917,77.7,2.03,0.323,148.4
Kansas,2937880,6,1861-01-29,37919,76,4.9,0.356,126.7
Kentucky,4505836,8,1792-06-01,33980,72.3,7.45,0.279,99.2
Louisiana,4657757,8,1812-04-30,32171,72.2,17.3,0.271,24.8
Maine,1362359,4,1820-03-15,41188,76.7,2.1,0.361,173.3
Maryland,6177224,10,1788-04-28,49236,77.2,9.97,0.438,94.1
Massachusetts,7029917,11,1788-02-06,54025,79.6,2.19,0.466,133.6
Michigan,10077331,15,1837-01-26,38151,75.7,6.98,0.321,159
Minnesota,5706494,10,1858-05-11,45021,78.8,3.24,0.391,174.4
Mississippi,2961279,6,1817-12-10,29045,70.9,7.9,0.248,50.6
Missouri,6154913,10,1821-08-10,36640,74.6,10.53,0.322,108.9
Montana,1084225,4,1889-11-08,38329,75.8,4.49,0.346,188.3
Nebraska,1961504,5,1867-03-01,38997,77.8,3.15,0.347,159.5
Nevada,3104614,6,1864-10-31,38183,75.1,7.11,0.27,150.7
New Hampshire,1377529,4,1788-06-21,49281,78.5,2.3,0.413,170.6
New Jersey,9288994,14,1787-12-18,51272,79,3.22,0.435,109.1
New Mexico,2117522,5,1912-01-06,33916,73,12.8,0.305,141.8
New York,20201249,28,1788-07-26,47421,79,4.12,0.4,142.8
North Carolina,10439388,16,1789-11-21,38701,74.9,8.33,0.359,76.1
North Dakota,779094,3,1889-11-02,41800,77.6,3.73,0.318,188.5
Ohio,11799448,17,1803-03-01,37932,74.5,6.89,0.32,122.1
Oklahoma,3959353,7,1907-11-16,32930,72.7,6.99,0.285,85.4
Oregon,4237256,8,1859-02-14,42474,77.4,4.84,0.363,105.6
Pennsylvania,13002700,19,1787-12-12,41489,76.4,9.34,0.351,132.2
Rhode Island,1097379,4,1790-05-29,44538,78.5,1.63,0.396,120.9
South Carolina,5118425,9,1788-05-23,36675,73.5,10.68,0.326,53.1
South Dakota,886667,3,1889-11-02,37618,76.6,4.93,0.316,172.7
Tennessee,6910840,11,1796-06-01,36704,72.4,9.32,0.311,85.7
Texas,29145505,40,1845-12-29,38123,75.4,7.09,0.339,45.4
Utah,3271616,6,1896-01-04,38514,78.2,2.37,0.379,162.3
Vermont,643077,3,1791-03-04,42251,78.4,3.4,0.442,172.5
Virginia,8631393,13,1788-06-25,47199,76.8,7.39,0.422,99.6
Washington,7705281,12,1889-11-11,50764,78.2,5.19,0.395,99.2
West Virginia,1793716,4,1863-06-20,31922,71,5.95,0.248,124
Wisconsin,5893718,10,1848-05-29,40188,77.8,5.58,0.332,162.2
Wyoming,576851,3,1890-07-10,38114,75,3.54,0.296,200
