abb,region,division,area_land,area_water,lat,long,contiguous,landlocked,peak_elev
AL,South,East South Central,50651.52,1768.47,32.7437,-86.8468,TRUE,FALSE,2405
AK,West,Pacific,571390.6,94334.3,63.4136,-152.8789,FALSE,FALSE,20237
AZ,West,Mountain,113655.45,329.67,34.2751,-111.6605,TRUE,TRUE,12633
AR,South,West South Central,51992.05,1205.58,34.8942,-92.4419,TRUE,TRUE,2753
CA,West,Pacific,155860.37,7833.46,37.1548,-119.5278,TRUE,FALSE,14494
CO,West,Mountain,103637.25,457.64,38.9976,-105.5478,TRUE,TRUE,14433
CT,Northeast,New England,4842.55,701.15,41.5751,-72.7393,TRUE,FALSE,2380
DE,South,South Atlantic,1948.58,540.2,38.9933,-75.4514,TRUE,FALSE,448
DC,South,South Atlantic,61.13,7.22,38.9048,-77.0163,TRUE,TRUE,409
FL,South,South Atlantic,53658.16,17745.37,28.4062,-82.5022,TRUE,FALSE,345
GA,South,South Atlantic,57717.62,1705.43,32.6279,-83.4165,TRUE,FALSE,4784
HI,West,Pacific,6422.59,4547.27,21.0509,-157.9937,FALSE,FALSE,13796
ID,West,Mountain,82645.45,923.09,44.3524,-114.6137,TRUE,TRUE,12662
IL,Midwest,East North Central,55513.53,2399.76,40.1006,-89.1501,TRUE,FALSE,1235
IN,Midwest,East North Central,35825.19,596.06,39.9059,-86.2873,TRUE,FALSE,1257
IA,Midwest,West North Central,55853.71,419.02,42.0754,-93.4959,TRUE,TRUE,1670
KS,Midwest,West North Central,81758.79,519.38,38.4939,-98.3786,TRUE,TRUE,4039
KY,South,East South Central,39485.83,920.11,37.5352,-85.3018,TRUE,TRUE,4139
LA,South,West South Central,43221.47,9153.92,30.9026,-91.7982,TRUE,FALSE,535
ME,Northeast,New England,30845.14,4534.74,45.2611,-69.2137,TRUE,FALSE,5267
MD,South,South Atlantic,9710.97,2694.9,38.9464,-76.679,TRUE,FALSE,3360
MA,Northeast,New England,7800.99,2753.13,42.1618,-71.4975,TRUE,FALSE,3487
MI,Midwest,East North Central,56612.6,40100.65,44.8382,-85.6651,TRUE,FALSE,1979
MN,Midwest,West North Central,79631.81,7311.46,46.3167,-94.1982,TRUE,FALSE,2301
MS,South,East South Central,46924.84,1511.15,32.6973,-89.6552,TRUE,FALSE,806
MO,Midwest,West North Central,68746.51,960.42,38.357,-92.4581,TRUE,TRUE,1772
MT,West,Mountain,145550.3,1493,47.0527,-109.6329,TRUE,TRUE,12799
NE,Midwest,West North Central,76815.31,532.12,41.5381,-99.795,TRUE,TRUE,5424
NV,West,Mountain,109860.39,710.37,39.3292,-116.6313,TRUE,TRUE,13140
NH,Northeast,New England,8953.99,395.9,43.674,-71.5739,TRUE,FALSE,6288
NJ,Northeast,Middle Atlantic,7355.03,1364.16,40.1049,-74.6584,TRUE,FALSE,1803
NM,West,Mountain,121312.74,280.51,34.4076,-106.1127,TRUE,TRUE,13161
NY,Northeast,Middle Atlantic,47123.48,7435.04,42.9196,-75.5941,TRUE,FALSE,5344
NC,South,South Atlantic,48624.01,5194.55,35.5402,-79.1299,TRUE,FALSE,6684
ND,Midwest,West North Central,68994.3,1704.52,47.4505,-100.4661,TRUE,TRUE,3506
OH,Midwest,East North Central,40859.07,3966.75,40.4097,-82.7169,TRUE,FALSE,1549
OK,South,West South Central,68596.63,1302.48,35.5886,-97.4947,TRUE,TRUE,4973
OR,West,Pacific,95996.87,2381.73,43.9396,-120.6109,TRUE,FALSE,11239
PA,Northeast,Middle Atlantic,44742.35,1311.57,40.9011,-77.8369,TRUE,FALSE,3213
RI,Northeast,New England,1033.89,511.08,41.594,-71.5247,TRUE,FALSE,812
SC,South,South Atlantic,30064.17,1959.31,33.8758,-80.8583,TRUE,FALSE,3560
SD,Midwest,West North Central,75809.29,1306.6,44.4446,-100.227,TRUE,TRUE,7242
TN,South,East South Central,41224.78,905.11,35.8582,-86.3491,TRUE,TRUE,6643
TX,South,West South Central,261260.03,7339.02,31.4277,-99.2891,TRUE,FALSE,8749
UT,West,Mountain,82595.63,2302.46,39.3063,-111.6703,TRUE,TRUE,13528
VT,Northeast,New England,9217.27,397.92,44.0693,-72.6661,TRUE,TRUE,4393
VA,South,South Atlantic,39481.44,3293.38,37.5183,-78.6759,TRUE,FALSE,5729
WA,West,Pacific,66456.56,4844.04,47.4149,-120.5955,TRUE,FALSE,14410
WV,South,South Atlantic,24041.31,188.7,38.6412,-80.6235,TRUE,TRUE,4861
WI,Midwest,East North Central,54168.27,11328.44,44.6273,-89.7098,TRUE,FALSE,1951
WY,West,Mountain,97088.55,721.25,42.9961,-107.5515,TRUE,TRUE,13804
