fips,region
01,South
02,West
04,West
05,South
06,West
08,West
09,Northeast
10,South
11,South
12,South
13,South
15,West
16,West
17,Midwest
18,Midwest
19,Midwest
20,Midwest
21,South
22,South
23,Northeast
24,South
25,Northeast
26,Midwest
27,Midwest
28,South
29,Midwest
30,West
31,Midwest
32,West
33,Northeast
34,Northeast
35,West
36,Northeast
37,South
38,Midwest
39,Midwest
40,South
41,West
42,Northeast
44,Northeast
45,South
46,Midwest
47,South
48,South
49,West
50,Northeast
51,South
53,West
54,South
55,Midwest
56,West
